"Sample_Name","Watershed","Date","Time","time_since_fire_day","Latitude","Longitude","Location_Change","Discharge_cms","DOC_micro_mol_C_per_L","Levo_micro_mol_C_per_L","stdev_Levo_micro_mol_C_per_L","Levo_DOC_percent","B6CA_and_B5CA_micro_mol_C_per_L","dB6CA_B5CA","BPCA_DOC_percent","B6CA_micro_mol_C_per_L","B5CA_micro_mol_C_per_L","Area_square_kilometer","Average_slope_percent","Average_precipitation_milli_meter","Mean_dNBR_watershed","Percent_burned","BE_un_low","BE_low","BE_mod","BE_high","Inc-greenness","Non-processing","Forest_percent","Shrub_percent","Developed_percent","Sandstone_and_sedimentary_percent","Igneous_percent","Suficial_Sediments_percent","Schist_percent"
"SAN-4","San Lorenzo River",2020-12-11,11:00:00,117,37.044037,-122.07214,"N",0.428,162.5,0.395954113728876,0.0373751079314173,0.243664069987001,1.2878,0.364,0.792492307692308,0.366,0.9218,276,33.3,1020,241.11,19.62,82.97,9.76,5.08,2.17,0.01,0.02,80,17,2,86,8,2,3
"SAN-5","San Lorenzo River",2020-12-13,14:05:00,119,37.044037,-122.07214,"N",2.178,390.833333333333,0.787097570001233,0.256074996916245,0.201389570149569,2.5561,0.352,0.654012793176972,0.7092,1.8469,276,33.3,1020,241.11,19.62,82.97,9.76,5.08,2.17,0.01,0.02,80,17,2,86,8,2,3
"SAN-6","San Lorenzo River",2021-01-04,16:00:00,141,37.044037,-122.07214,"N",1.818,305.833333333333,1.74330825212779,1.66744788454422,0.570019047017261,2.3193,0.359,0.758354223433242,0.6528,1.6665,276,33.3,1020,241.11,19.62,82.97,9.76,5.08,2.17,0.01,0.02,80,17,2,86,8,2,3
"SAN-7","San Lorenzo River",2021-01-27,07:05:00,164,37.044037,-122.07214,"N",19.793,617.5,0.498828173183669,0.0762304181571481,0.0807818903941164,6.2522,0.416,1.0125020242915,1.9512,4.301,276,33.3,1020,241.11,19.62,82.97,9.76,5.08,2.17,0.01,0.02,80,17,2,86,8,2,3
"SAN-8","San Lorenzo River",2021-01-28,07:04:00,165,37.044037,-122.07214,"N",52.386,664.166666666667,NA,NA,NA,7.567908,0.469,1.1394591718946,2.560224,5.007684,276,33.3,1020,241.11,19.62,82.97,9.76,5.08,2.17,0.01,0.02,80,17,2,86,8,2,3
"SAN-9","San Lorenzo River",2021-02-02,08:15:00,170,37.044037,-122.07214,"N",3.511,355.833333333333,0.247193783150364,0.0499568274330825,0.0694689788712967,3.803033,0.432,1.06876805620609,1.21866,2.584373,276,33.3,1020,241.11,19.62,82.97,9.76,5.08,2.17,0.01,0.02,80,17,2,86,8,2,3
"SCT-1","Scott Creek",2020-10-07,NA,52,37.054092,-122.226767,"N",0.32,136.666666666667,0.304181571481436,0.0233131861354385,0.222571881571782,1.157743,0.375,0.847129024390244,0.336384,0.821359,73.5,35.1,970,579.85,99.86,4.56,14.12,33.28,47.46,0.49,0.09,83,2,15,55,42,3,1
"SCT-10","Scott Creek",2021-03-18,19:33:00,214,37.054092,-122.226767,"N",2.911,167.916666666667,0.180214629332675,0.0292339953126927,0.1073238487341,2.3808,0.385,1.41784615384615,0.7044,1.6764,73.5,35.1,970,579.85,99.86,4.56,14.12,33.28,47.46,0.49,0.09,83,2,15,55,42,3,1
"SCT-11","Scott Creek",2021-05-02,10:30:00,259,37.054092,-122.226767,"N",0.992,150.833333333333,0.338226224250648,0.0325644504748982,0.224238380718661,1.6805,0.386,1.11414364640884,0.498,1.1825,73.5,35.1,970,579.85,99.86,4.56,14.12,33.28,47.46,0.49,0.09,83,2,15,55,42,3,1
"SCT-3","Scott Creek",2020-11-18,11:45:00,94,37.054092,-122.226767,"N",2.469,449.166666666667,2.31910694461576,0.282348587640311,0.516313234422805,2.1534,0.367,0.479421150278293,0.6156,1.5378,73.5,35.1,970,579.85,99.86,4.56,14.12,33.28,47.46,0.49,0.09,83,2,15,55,42,3,1
"SCT-4","Scott Creek",2020-12-11,09:35:00,117,37.054092,-122.226767,"N",0.829,153.333333333333,0.354878500061675,0.000740101147156778,0.231442500040223,1.4386,0.378,0.938217391304348,0.42,1.0186,73.5,35.1,970,579.85,99.86,4.56,14.12,33.28,47.46,0.49,0.09,83,2,15,55,42,3,1
"SCT-5","Scott Creek",2020-12-13,14:16:00,119,37.054092,-122.226767,"N",1.447,308.333333333333,0.515480448994696,0.0595781423461206,0.167182848322604,2.3368,0.396,0.757881081081081,0.7044,1.6324,73.5,35.1,970,579.85,99.86,4.56,14.12,33.28,47.46,0.49,0.09,83,2,15,55,42,3,1
"SCT-6","Scott Creek",2021-01-04,15:10:00,141,37.054092,-122.226767,"N",1.826,250.833333333333,0.349327741457999,0.0740101147156778,0.139266873670963,1.9498,0.409,0.777328903654485,0.6012,1.3486,73.5,35.1,970,579.85,99.86,4.56,14.12,33.28,47.46,0.49,0.09,83,2,15,55,42,3,1
"SCT-7","Scott Creek",2021-01-27,07:25:00,164,37.0407,-122.228952,"Y",8.438,906.666666666667,1.78105341063279,0.380411989638584,0.196439714408028,7.628548,0.345,0.841383970588235,2.08578,5.542768,73.5,35.1,970,579.85,99.86,4.56,14.12,33.28,47.46,0.49,0.09,83,2,15,55,42,3,1
"SCT-8","Scott Creek",2021-01-28,08:05:00,165,37.0407,-122.228952,"Y",16.412,818.333333333333,1.2122856790428,0.0114715677809301,0.14814081617631,8.003676,0.358,0.978045947046843,2.245836,5.75784,73.5,35.1,970,579.85,99.86,4.56,14.12,33.28,47.46,0.49,0.09,83,2,15,55,42,3,1
"SCT-9","Scott Creek",2021-02-02,07:15:00,170,37.054092,-122.226767,"N",5.53,537.5,0.393733810287406,0.0421857653879363,0.073252801913936,5.545348,0.38,1.03169265116279,1.624332,3.921016,73.5,35.1,970,579.85,99.86,4.56,14.12,33.28,47.46,0.49,0.09,83,2,15,55,42,3,1
