header,levo_ppb,relative_area_levo,relative_amount_levo,levoglucosan_area,C13_levoglucosan_area,c13_levo_ppb
R2-SAN-11,8.346185591083984,0.44063126252505014,0.8346185591083983,351.8,798.4,10
R2-SAN-2,28.058913672171467,1.573966782541522,2.805891367217147,1630,1035.6,10
R2-SAN-3,19.905165538294877,1.1051867972433804,1.9905165538294878,1218.8,1102.8,10
R2-SAN-4,9.981609854276439,0.5346560164905951,0.9981609854276439,415,776.2,10
R2-SAN-5,26.16920741946943,1.4653227019708137,2.616920741946943,974,664.7,10
R2-SAN-6,78.97852230677661,4.501466275659824,7.897852230677661,614,136.4,10
R2-SAN-7,12.020762793183348,0.6518921721099015,1.2020762793183348,754.5,1157.4,10
R2-SAN-9,7.638089433400587,0.39992099025546485,0.7638089433400588,303.7,759.4,10
R2-SCT-1,7.776110304898402,0.40785616572210276,0.7776110304898401,417.4,1023.4,10
R2-SCT-10,4.312669421979399,0.20873402713739952,0.4312669421979399,316.9,1518.2,10
R2-SCT-11,8.517457082056842,0.45047810175894226,0.8517457082056842,381.6,847.1,10
R2-SCT-3,57.27794727,3.253844295950407,5.727794727,4041.6,1242.1,10
R2-SCT-4,9.57602448,0.5113378684807256,0.9576024479845181,496.1,970.2,10
R2-SCT-5,15.064836917110085,0.8269038354641467,1.5064836917110085,743.8,899.5,10
R2-SCT-6,10.856435528827767,0.5849519982138871,1.0856435528827766,524,895.8,10
R2-SCT-7,40.86360562381599,2.3101415094339623,4.086360562381599,195.9,84.8,10
R2-SCT-8,32.977483666128784,1.856748042376785,3.297748366612878,403.1,217.1,10
R2-SCT-9,9.830683291603597,0.52597886,0.9830683291603597,1059.9,2015.1,10
